"Concepte";"Nom";"Tipologia";"Superficie";"Usuaris";"Gener [kWh]";"Febrer [kWh]";"Març [kWh]";"Abril [kWh]";"Maig [kWh]";"Juny [kWh]";"Juliol [kWh]";"Agost [kWh]";"Setembre [kWh]";"Octubre [kWh]";"Novembre [kWh]";"Desembre [kWh]";"Gener[€]";"Febrer[€]";"Març[€]";"Abril[€]";"Maig[€]";"Juny[€]";"Juliol[€]";"Agost[€]";"Setembre[€]";"Octubre[€]";"Novembre[€]";"Desembre[€]"
"Electricitat";"BANC D'ALIMENTS";"Oficina";"";"0";"73";"73";"265";"226";"252";"283";"329";"334";"287";"194";"166";"150";"116";"94";"93";"84";"90";"95";"104";"105";"95";"80";"73";"73"
"Electricitat";"MAGATZEM JOSEP MA PRAT";"Altres";"";"0";"39";"41";"230";"219";"275";"266";"170";"170";"121";"125";"102";"104";"65";"63";"61";"59";"68";"66";"51";"51";"43";"44";"39";"41"
"Electricitat";"CENTRE CÍVIC ONYAR";"Cultural";"";"0";"1954";"2218";"12145";"2397";"3102";"5406";"10087";"8542";"5800";"7189";"10103";"12546";"3217";"2154";"1993";"770";"889";"1208";"1796";"1551";"1248";"1535";"1954";"2218"
"Electricitat";"CENTRE CÍVIC SANT NARCÍS";"Cultural";"";"0";"2.293";"2547";"10078";"4246";"4679";"8092";"13.503";"11891";"9604";"9381";"11656";"14959";"3489";"2817";"1981";"1246";"1317";"1717";"2381";"2167";"1926";"1933";"2293";"2547"
"Electricitat";"LOCAL SOCIAL GRUP GIRONA";"Cultural";"";"0";"19";"20";"7";"7";"7";"7";"7";"7";"7";"7";"6";"6";"20";"19";"20";"19";"20";"20";"20";"20";"19";"20";"19";"20"
"Electricitat";"CENT LLARS";"Oficina";"";"0";"231";"268";"831";"154";"211";"316";"468";"536";"367";"613";"953";"1140";"364";"283";"211";"85";"97";"114";"144";"157";"124";"171";"231";"268"
"Electricitat";"LOCAL SOCIAL NOGUER";"Oficina";"";"0";"94";"100";"394";"384";"276";"249";"439";"446";"315";"321";"517";"550";"123";"67";"74";"72";"55";"50";"82";"83";"61";"62";"94";"100"
"Electricitat";"LOCAL SOCIAL PLAÇA LLIMONER";"Cultural";"";"0";"249";"268";"465";"340";"230";"205";"195";"195";"415";"437";"1.308";"1.417";"191";"189";"108";"91";"75";"69";"69";"69";"104";"108";"249";"268"
"Electricitat";"LOCAL SOCIAL DE VISTA ALEGRE";"Cultural";"";"0";"95";"97";"259";"216";"206";"217";"248";"282";"318";"345";"361";"367";"117";"103";"79";"71";"71";"71";"77";"83";"88";"93";"95";"97"
"Electricitat";"TEATRE MUNICIPAL";"Cultural";"";"0";"4638";"6208";"19133";"6232";"7455";"10368";"16923";"23860";"20167";"22949";"28156";"40421";"5649";"4911";"3558";"2073";"2261";"2560";"3453";"4460";"3941";"4129";"4638";"6208"
"Electricitat";"PUNT DE BENVINGUDA";"Oficina";"";"0";"116";"131";"419";"377";"302";"239";"307";"332";"324";"337";"487";"574";"138";"130";"106";"97";"86";"75";"87";"91";"89";"92";"116";"131"
"Electricitat";"EBAR CREUETA";"Bombeig";"";"0";"22";"23";"21";"20";"19";"21";"21";"20";"20";"20";"20";"18";"23";"22";"23";"22";"23";"23";"23";"23";"22";"23";"22";"23"
"Electricitat";"COMPORTES MARFÀ";"Bombeig";"";"0";"54";"57";"190";"182";"183";"179";"298";"187";"180";"182";"176";"179";"55";"52";"57";"55";"56";"54";"74";"56";"54";"56";"54";"57"
"Electricitat";"Provisional Fires";"Altres";"";"0";"27";"28";"735";"-133";"-1719";"0";"0";"0";"0";"0";"0";"0";"94";"102";"118";"18";"-164";"27";"28";"28";"27";"28";"27";"28"
"Electricitat";"ASSOCIACIÓ DE VEÏNS DE TORRE TAIALÀ";"Cultural";"";"0";"138";"160";"1.186";"1.097";"1.113";"1.064";"1.074";"1.137";"1.160";"1.129";"971";"1.104";"188";"168";"168";"155";"157";"151";"150";"160";"165";"157";"138";"160"
"Electricitat";"ESCOLA BRESSOL L'OLIVERA";"Educació";"";"0";"1042";"1072";"7354";"3708";"802";"3655";"4868";"2376";"4911";"5646";"5842";"6039";"1533";"1330";"1192";"746";"400";"745";"979";"576";"937";"1002";"1042";"1072"
"Electricitat";"ESCOLA DOMENY";"Educació";"";"0";"1724";"1725";"7592";"4595";"4463";"5070";"5197";"4630";"8429";"10117";"10902";"10680";"1667";"1594";"1275";"881";"897";"978";"1001";"915";"1526";"1887";"1724";"1725"
"Electricitat";"PARC DEL MIGDIA";"Altres";"";"0";"1489";"448";"5741";"4908";"12231";"11725";"11244";"13381";"13338";"14143";"9386";"1339";"451";"898";"1034";"894";"1862";"1805";"1914";"2063";"2045";"2147";"1489";"448"
"Electricitat";"ESCOLA EL BOSC DE LA PABORDIA";"Educació";"";"0";"1295";"1862";"6475";"3233";"754";"1021";"945";"237";"2674";"4306";"7255";"11094";"1981";"1496";"1200";"761";"472";"496";"515";"410";"720";"949";"1295";"1862"
"Electricitat";"MAGATZEM REIS MAGS";"Altres";"";"0";"135";"145";"2";"1";"0";"3";"11";"13";"15";"199";"627";"677";"79";"33";"34";"33";"32";"32";"36";"36";"35";"67";"135";"145"
"Electricitat";"EBAR PARADOR GÜELL";"Bombeig";"";"0";"32";"34";"29";"23";"24";"23";"24";"21";"15";"16";"17";"20";"37";"37";"35";"33";"34";"33";"34";"33";"32";"33";"32";"34"
"Electricitat";"Can Borrassó";"Altres";"";"0";"400";"424";"1.592";"960";"722";"687";"851";"828";"870";"822";"807";"924";"529";"480";"505";"419";"398";"383";"414";"413";"407";"412";"400";"424"
"Electricitat";"ESCOLA CARME AUGUET";"Educació";"";"0";"1.028";"882";"1.065";"428";"6.330";"3.756";"3.123";"3.377";"2.984";"4.946";"5.578";"4.448";"1.086";"927";"421";"311";"1.049";"746";"678";"694";"710";"938";"1.028";"882"
"Electricitat";"HABITATGE AURORA BERTRANA I SALAZAR 2 - 1R 6A";"Residencial";"";"0";"75";"95";"967";"901";"646";"290";"283";"269";"231";"209";"317";"431";"208";"208";"182";"171";"130";"71";"71";"69";"62";"59";"75";"95"
"Electricitat";"ESCOLA MARTA MATA";"Educació";"";"0";"1.757";"1.515";"6.151";"2.455";"2.033";"4.122";"2057";"1827";"7.634";"8.690";"10.073";"8.513";"1.442";"1.355";"1.069";"586";"546";"797";"551";"521";"1301";"1472";"1.757";"1.515"
"Electricitat";"CENTRE DE DIA DE SANTA EUGÈNIA";"Oficina";"";"0";"973";"1303";"5568";"2175";"1538";"1653";"2383";"2322";"1804";"4015";"6845";"9076";"1287";"879";"830";"417";"351";"363";"470";"464";"385";"681";"973";"1303"
"Electricitat";"ESPAI JOVE ELS QUÍMICS";"Cultural";"";"0";"819";"684";"1227";"438";"311";"1019";"3286";"719";"849";"1277";"3121";"2239";"904";"766";"393";"234";"227";"362";"751";"275";"335";"458";"819";"684"
"Electricitat";"TANC PLUJA TAIALÀ 4";"Bombeig";"";"0";"9";"9";"20";"18";"19";"18";"19";"19";"18";"19";"19";"19";"9";"8";"9";"8";"9";"9";"9";"9";"8";"9";"9";"9"
"Electricitat";"TANC PLUJA TAIALÀ 2";"Bombeig";"";"0";"6";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"6";"6"
"Electricitat";"TANC PLUJA TAIALÀ 1";"Bombeig";"";"0";"29";"31";"34";"31";"26";"22";"22";"23";"24";"26";"38";"45";"30";"28";"28";"27";"27";"26";"27";"27";"26";"27";"29";"31"
"Electricitat";"LA MARFÀ";"Oficina";"";"0";"2.643";"2.862";"10.246";"3.352";"5.044";"9.140";"24.318";"19.305";"18.457";"14.334";"12.932";"14.342";"3.361";"3.203";"2.291";"1.433";"1.672";"2.169";"4253";"3556";"3.450";"2.880";"2.643";"2.862"
"Electricitat";"TANC PLUJA TAIALÀ 3";"Bombeig";"";"0";"9";"9";"21";"20";"20";"20";"20";"20";"19";"20";"19";"20";"9";"8";"9";"9";"9";"9";"9";"9";"9";"9";"9";"9"
"Electricitat";"TANC PLUJA TAIALÀ 5";"Bombeig";"";"0";"22";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"21";"22";"21";"22";"21";"22";"22";"21";"22";"22";"22"
"Electricitat";"LOCAL PONT MAJOR 65";"Altres";"";"0";"20";"21";"11";"4";"2";"0";"0";"0";"5";"8";"8";"7";"26";"27";"22";"20";"20";"18";"19";"19";"20";"21";"20";"21"
"Electricitat";"EBAR MARFÀ";"Bombeig";"";"0";"42";"43";"105";"101";"96";"91";"75";"71";"77";"81";"87";"91";"45";"43";"45";"44";"44";"43";"41";"40";"40";"42";"42";"43"
"Electricitat";"ESCOLA BRESSOL LA DEVESA";"Educació";"";"0";"1083";"1249";"4367";"2568";"1312";"1746";"2499";"924";"1837";"3036";"5056";"6086";"1193";"1007";"983";"737";"601";"648";"776";"559";"664";"830";"1083";"1249"
"Electricitat";"EBAR CAMPDORÀ 2";"Bombeig";"";"0";"24";"26";"9";"8";"8";"8";"9";"9";"8";"9";"10";"11";"25";"23";"24";"24";"24";"24";"24";"24";"24";"24";"24";"26"
"Electricitat";"CASTELL MONTJUÏC";"Cultural";"";"0";"48";"49";"83";"0";"18";"40";"53";"58";"119";"-35";"30";"20";"61";"58";"59";"41";"47";"50";"54";"55";"64";"38";"48";"49"
"Electricitat";"SEPARADOR HIDROCARBURS DOMENY";"Bombeig";"";"0";"25";"26";"0";"0";"8623";"924";"106";"107";"104";"107";"103";"108";"8";"8";"8";"8";"1423";"159";"25";"26";"25";"26";"25";"26"
"Electricitat";"PISTA CREC SANT DANIEL";"Cultural";"";"0";"83";"83";"249";"214";"219";"220";"247";"283";"374";"362";"292";"276";"107";"101";"78";"71";"73";"72";"77";"83";"97";"96";"83";"83"
"Electricitat";"HABITATGE AGUDES 69 - 5E 1A";"Residencial";"";"0";"191";"235";"902";"848";"376";"133";"121";"117";"349";"436";"1023";"1283";"206";"188";"172";"162";"86";"46";"44";"44";"81";"96";"191";"235"
"Electricitat";"CENTRE CÍVIC BARRI VELL – MERCADAL";"Cultural";"";"0";"693";"894";"3.314";"1.341";"1.556";"2.017";"2.877";"1922";"2.185";"2.837";"3.772";"4.902";"1.025";"889";"651";"391";"427";"477";"588";"478";"496";"586";"693";"894"
"Electricitat";"ASSOCIACIÓ DE VEÏNS DE PALAU";"Cultural";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"ESCOLA PERICOT";"Educació";"";"0";"1346";"1230";"6251";"2922";"2834";"3156";"2458";"2245";"7435";"8258";"8964";"7899";"1570";"1323";"1030";"615";"614";"639";"583";"524";"1162";"1278";"1346";"1230"
"Electricitat";"WC DOMENY";"Altres";"";"0";"16";"17";"9";"9";"9";"8";"7";"7";"9";"10";"9";"9";"17";"16";"17";"16";"17";"16";"16";"16";"16";"17";"16";"17"
"Electricitat";"PAVELLÓ MONTFALGARS";"Esportiu";"";"0";"362";"407";"1862";"1048";"889";"970";"2142";"1398";"2395";"2819";"2229";"2497";"592";"553";"330";"219";"202";"210";"355";"264";"386";"443";"362";"407"
"Electricitat";"GESTORIA GOMEZ";"Oficina";"";"0";"181";"208";"513";"143";"189";"357";"562";"284";"468";"547";"706";"838";"211";"227";"147";"77";"87";"117";"156";"105";"137";"153";"181";"208"
"Electricitat";"BEATES";"Oficina";"";"0";"861";"634";"1892";"1059";"1317";"3480";"4628";"4368";"3687";"3749";"4265";"2.794";"728";"582";"528";"394";"446";"770";"958";"909";"906";"788";"861";"634"
"Electricitat";"EBAR NESTLE";"Altres";"";"0";"42";"39";"89";"118";"85";"106";"100";"93";"80";"91";"110";"90";"51";"39";"39";"41";"39";"47";"41";"44";"37";"40";"42";"39"
"Electricitat";"CAMP DE FUTBOL DE PONT MAJOR";"Esportiu";"";"0";"943";"1058";"4501";"4055";"2771";"4203";"1384";"3045";"5330";"5269";"4134";"4898";"1654";"851";"995";"912";"776";"956";"610";"807";"1078";"1090";"943";"1058"
"Electricitat";"GUINGUETA FONTAJAU";"Cultural";"";"0";"68";"68";"202";"199";"267";"273";"330";"339";"248";"247";"183";"181";"70";"64";"72";"70";"82";"82";"93";"94";"78";"79";"68";"68"
"Electricitat";"TANC PLUJA COSTABONA";"Altres";"";"0";"136";"109";"150";"323";"138";"308";"102";"102";"100";"197";"248";"57";"139";"122";"127";"147";"122";"148";"116";"118";"112";"130";"136";"109"
"Electricitat";"ASSOCIACIO DE VEÏNS DE L'EIXAMPLE";"Altres";"";"0";"105";"190";"361";"91";"105";"285";"125";"113";"190";"324";"308";"480";"231";"163";"148";"67";"72";"94";"75";"73";"111";"107";"105";"190"
"Electricitat";"WC PERE CALDERS";"Altres";"";"0";"42";"47";"7";"7";"7";"7";"19";"22";"27";"29";"167";"194";"24";"16";"16";"16";"16";"16";"18";"19";"19";"20";"42";"47"
"Electricitat";"DIPÒSIT MUNICIPAL DE VEHICLES";"Altres";"";"0";"168";"332";"333";"1.830";"2.626";"1.469";"1.706";"1.677";"1.412";"1.078";"882";"2.181";"353";"303";"118";"286";"381";"257";"290";"285";"249";"198";"168";"332"
"Electricitat";"PARQUING PLAÇA PALLOL";"Altres";"";"0";"244";"254";"717";"1186";"2495";"1676";"1676";"1632";"1546";"1659";"1575";"1578";"367";"396";"136";"198";"362";"290";"252";"243";"251";"248";"244";"254"
"Electricitat";"FONTAJAU 5 1º 2ª";"Residencial";"";"0";"61";"64";"303";"295";"276";"263";"228";"225";"218";"226";"260";"274";"62";"58";"69";"67";"64";"61";"56";"56";"54";"56";"61";"64"
"Electricitat";"AAVV PALAU - SANT PAU";"Residencial";"";"0";"19";"20";"3";"2";"1";"2";"5";"4";"4";"3";"1";"2";"20";"18";"19";"19";"19";"19";"20";"20";"19";"20";"19";"20"
"Electricitat";"ASCENSOR GRUP SANT DANIEL";"Altres";"";"0";"88";"91";"78";"79";"88";"92";"103";"109";"112";"120";"121";"118";"88";"82";"82";"80";"84";"83";"87";"88";"86";"90";"88";"91"
"Electricitat";"ASCENSOR PUNTA DEL PI";"Altres";"";"0";"42";"44";"72";"69";"72";"70";"74";"74";"74";"77";"78";"81";"43";"40";"37";"40";"42";"40";"42";"42";"41";"43";"42";"44"
"Electricitat";"PLAÇA JORDI DE SANT JORDI";"Oficina";"";"0";"522";"582";"1758";"1229";"2722";"2095";"1429";"1194";"1221";"1995";"1747";"1708";"856";"820";"552";"450";"634";"564";"514";"476";"458";"565";"522";"582"
"Electricitat";"ESTACIÓ RECÀRREGA VEHICLE ELÈCTRIC THARRATS";"Altres";"";"0";"619";"682";"0";"735";"1.629";"1.353";"2.229";"1.960";"2.135";"2.230";"1.277";"1.764";"1030";"929";"386";"468";"595";"634";"1051";"733";"668";"676";"619";"682"
"Electricitat";"ESTACIÓ RECÀRREGA VEHICLE ELÈCTRIC CARDENER";"Altres";"";"0";"965";"1.004";"0";"1.079";"2.230";"135";"91";"6.677";"2.922";"3.073";"2.786";"3.764";"1249";"1218";"386";"522";"693";"391";"398";"1350";"769";"781";"965";"1004"
"Electricitat";"HABITATGE AGUDES 69 - 3R 2A";"Residencial";"";"0";"69";"73";"287";"278";"258";"236";"252";"255";"260";"273";"285";"302";"67";"66";"70";"68";"66";"61";"65";"65";"65";"68";"69";"73"
"Electricitat";"ASCENSOR PICAPEDRERS";"Altres";"";"0";"53";"57";"147";"92";"16";"97";"106";"117";"121";"142";"134";"134";"53";"48";"54";"44";"33";"45";"47";"49";"49";"53";"53";"57"
"Electricitat";"ESCENARI FRONTISSA SANTA EUGÈNIA";"Altres";"";"0";"139";"143";"0";"0";"1";"3";"9";"10";"2";"3";"5";"1";"140";"134";"138";"135";"143";"139";"144";"144";"139";"143";"139";"143"
"Electricitat";"QUIOSC FRONTISSA SANTA EUGÈNIA";"Altres";"";"0";"36";"37";"18";"16";"16";"15";"11";"10";"3";"1";"0";"0";"43";"40";"42";"40";"41";"40";"41";"40";"38";"39";"36";"37"
"Electricitat";"HABITATGE GUADIANA 29 - BX 1A";"Residencial";"";"0";"44";"47";"153";"153";"140";"115";"116";"115";"113";"118";"119";"129";"44";"41";"50";"49";"47";"43";"44";"43";"42";"44";"44";"47"
"Electricitat";"HABITATGE GUADIANA 29 - 2N 3A";"Residencial";"";"0";"99";"107";"369";"369";"382";"370";"383";"384";"363";"365";"376";"413";"87";"80";"99";"98";"101";"98";"101";"101";"97";"98";"99";"107"
"Electricitat";"HABITATGE GUADIANA 29 - 1R 9A";"Residencial";"";"0";"43";"47";"201";"199";"184";"153";"162";"166";"157";"159";"169";"190";"43";"40";"48";"47";"45";"40";"42";"42";"40";"41";"43";"47"
"Electricitat";"EDIFICI HABITATGES TORIN";"Residencial";"";"0";"310";"321";"796";"764";"838";"819";"875";"873";"844";"902";"983";"1.007";"282";"268";"285";"275";"292";"283";"298";"297";"288";"302";"310";"321"
"Electricitat";"HABITATGE GUADIANA 29 - 1R 3A";"Residencial";"";"0";"36";"36";"134";"131";"135";"131";"135";"134";"135";"145";"129";"122";"36";"33";"37";"36";"37";"36";"37";"37";"37";"39";"36";"36"
"Electricitat";"CASA SOLER";"Altres";"";"0";"92";"94";"407";"396";"409";"396";"409";"409";"396";"409";"392";"390";"95";"88";"95";"93";"96";"93";"96";"96";"93";"96";"92";"94"
"Electricitat";"HABITATGE RONDA PEDRET 10- BXS 2";"Residencial";"";"0";"43";"45";"126";"121";"114";"109";"125";"126";"104";"106";"120";"126";"48";"42";"45";"44";"43";"42";"45";"45";"41";"42";"43";"45"
"Electricitat";"CENTRE DE DIA GÜELL";"Altres";"";"0";"198";"214";"373";"273";"274";"292";"276";"276";"335";"427";"482";"579";"196";"192";"187";"170";"174";"172";"175";"175";"178";"194";"198";"214"
"Electricitat";"CENTRE DE DISTRIBUCIÓ D'ALIMENTS SANTA EUGÈNIA";"Oficina";"";"0";"392";"420";"1087";"327";"411";"580";"663";"369";"513";"821";"1455";"1672";"482";"424";"352";"251";"269";"283";"301";"263";"274";"320";"392";"420"
"Electricitat";"ESPAI JOVE GÜELL";"Altres";"";"0";"325";"313";"2889";"2083";"2444";"3732";"4455";"2032";"1651";"1919";"1559";"1413";"515";"519";"504";"398";"453";"631";"723";"387";"340";"381";"325";"313"
"Electricitat";"Quadre de festa";"Altres";"";"0";"311";"578";"492";"364";"778";"500";"539";"595";"621";"741";"1005";"2910";"409";"257";"249";"227";"278";"245";"259";"264";"261";"287";"311";"578"
"Electricitat";"OFICINES BÒLIT";"Oficina";"";"0";"440";"504";"695";"394";"719";"764";"1085";"1289";"701";"1313";"2153";"2682";"537";"463";"237";"186";"230";"237";"297";"335";"231";"316";"440";"504"
"Electricitat";"EVENTUALS NADAL";"Altres";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"HABITATGE GUADIANA 29 - 2N 8A";"Residencial";"";"0";"33";"38";"96";"96";"108";"124";"143";"139";"109";"101";"113";"136";"41";"28";"31";"30";"33";"35";"38";"38";"32";"32";"33";"38"
"Electricitat";"HABITATGE AGUDES 69 - 6E 6A";"Residencial";"";"0";"28";"24";"186";"180";"175";"163";"122";"109";"101";"104";"27";"0";"56";"51";"55";"53";"53";"50";"45";"42";"40";"41";"28";"24"
"Electricitat";"EVENTUALS";"Altres";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"HABITATGE GUADIANA 29_COMUNITAT PROPIETARIS A";"Residencial";"";"0";"221";"226";"260";"190";"251";"301";"475";"453";"438";"468";"447";"443";"211";"196";"203";"186";"202";"202";"230";"227";"221";"230";"221";"226"
"Electricitat";"HABITATGE GUADIANA29_COMUNITAT PROPIETARIS B";"Residencial";"";"0";"179";"185";"308";"285";"202";"185";"175";"142";"146";"151";"134";"144";"193";"181";"204";"196";"192";"185";"189";"185";"180";"186";"179";"185"
"Electricitat";"HABITATGE MONTJUIC 4";"Residencial";"";"0";"51";"53";"174";"169";"151";"142";"157";"157";"160";"166";"193";"203";"50";"45";"48";"47";"45";"42";"45";"46";"45";"47";"51";"53"
"Electricitat";"HABITATGE AGUDES 69 -MAS MASO 1 - 4T 6A";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"HABITATGE RONDA PEDRET 6 - 4T 1A";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"HABITATGE RONDA PEDRET 2 - 3R 2A";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"HABITATGE MONTSENY 32 2 2";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"ANTIC EDIFICI UNED";"Altres";"";"0";"263";"214";"2273";"83";"181";"584";"549";"615";"597";"676";"1042";"607";"632";"430";"400";"148";"164";"212";"212";"219";"212";"226";"263";"214"
"Electricitat";"PARKING HABITATGES GUADIANA";"Residencial";"";"0";"109";"113";"61";"74";"219";"224";"273";"294";"369";"375";"323";"325";"49";"48";"63";"63";"92";"91";"102";"105";"118";"120";"109";"113"
"Gas";"CAMP DE FUTBOL TORRES DE PALAU";"Esportiu";"";"0";"15.370";"13.160";"898";"10.821";"1.654";"2.899";"2.720";"2.864";"2.754";"3.406";"3.397";"7.633";"871";"763";"167";"617";"183";"239";"221";"227";"218";"242";"238";"414"
"Gas";"ESCOLA BRESSOL EL TREN";"Educació";"";"0";"7.389";"6.952";"6.473";"0";"113";"1.126";"1.135";"709";"1.114";"3.360";"4.598";"11.706";"462";"431";"410";"65";"73";"120";"123";"100";"115";"213";"266";"585"
"Gas";" PAVELLÓ DE VILA-ROJA";"Esportiu";"";"0";"17.800";"21.047";"6.496";"5.049";"1.034";"3.449";"15.949";"20.221";"-14201";"-2.227";"3.238";"16.743";"1263";"1180";"438";"365";"155";"261";"798";"983";"-490";"5";"228";"781"
"Gas";" AJUNTAMENT";"Oficina";"";"0";"71.615";"55.393";"5.467";"0";"27.068";"31.472";"27948";"4458";"21";"24.361";"52.875";"67.777";"3.640";"2.828";"399";"129";"1.425";"1.631";"1466";"345";"130";"1118";"2.268";"2.890"
"Gas";" ESCOLA MONTJUÏC";"Educació";"";"0";"17.701";"16.389";"4.586";"0";"3.256";"4869";"4972";"2412";"0";"7877";"17.677";"18.209";"972";"899";"329";"102";"261";"335";"343";"221";"102";"424";"818";"849"
"Gas";" PISCINA DE PALAU";"Piscina";"";"0";"197.289";"166.635";"11.325";"107.968";"22.035";"36.622";"25.997";"31.596";"48.882";"97.455";"104.989";"202.198";"9.847";"8.233";"652";"5.251";"1.152";"1.839";"1.216";"1.450";"2.181";"4.046";"4.344";"8.319"
"Gas";" PAVELLÓ DE SANTA EUGÈNIA";"Esportiu";"";"0";"34.555";"28.155";"1.902";"0";"0";"7.628";"12.163";"11.020";"13.295";"8.372";"9.599";"13.146";"1.810";"1.469";"193";"97";"100";"460";"660";"607";"702";"444";"486";"635"
"Gas";" HABITATGE MUNICIPAL ST. GREGORI 89- 5E 4A";"Residencial";"";"0";"1.270";"1077";"870";"645";"604";"502";"547";"578";"595";"658";"749";"906";"82";"70";"58";"45";"42";"36";"37";"38";"38";"40";"44";"52"
"Gas";" BRIGADES OBRES";"Altres";"";"0";"31.520";"26.425";"7.404";"16.855";"7.605";"328";"114";"0";"26";"4.589";"18.018";"29.777";"1.651";"1.388";"467";"907";"469";"118";"111";"106";"103";"291";"831";"1.324"
"Gas";" OFICINA MUNICIPAL HABITATGE";"Oficina";"";"0";"7.768";"6.919";"707";"10.094";"0";"0";"0";"0";"719";"5.009";"6.265";"8.526";"476";"426";"104";"584";"67";"65";"67";"67";"98";"284";"337";"439"
"Gas";"ESCOLA BRESSOL GARBÍ";"Educació";"";"0";"6.904";"7.978";"561";"3.035";"0";"747";"1.125";"146";"1.030";"4.040";"8.696";"9.628";"433";"481";"96";"220";"67";"103";"119";"73";"112";"241";"442";"487"
"Gas";" TEATRE MUNICIPAL";"Cultural";"";"0";"47575";"38498";"10570";"0";"31.113";"12.964";"0";"0";"6078";"17.083";"24.054";"36.513";"2456";"1995";"640";"120";"1609";"739";"124";"124";"376";"819";"1.093";"1.618"
"Gas";" PISCINA CAN GIBERT DEL PLA";"Piscina";"";"0";"185.328";"157.694";"16.313";"198.611";"47.295";"56.871";"31.195";"34.899";"62.655";"112.393";"112.678";"171.214";"9.283";"7.818";"928";"9.611";"2.389";"2.827";"1.483";"1.623";"2.801";"4.684";"4.688";"7.092"
"Gas";" PAVELLÓ DE FONTAJAU";"Esportiu";"";"0";"126.643";"259.279";"19.031";"207.255";"7.125";"5.807";"5.469";"5.410";"6.280";"8.705";"121.560";"205.341";"6.411";"12.799";"1.079";"10.042";"491";"424";"387";"382";"415";"503";"5.066";"8.498"
"Gas";" ESCOLA MARTA MATA";"Educació";"";"0";"69.719";"51.972";"3.482";"17.505";"3.770";"486";"0";"0";"7.440";"6.694";"32.644";"43.335";"3.569";"2.656";"294";"956";"304";"143";"124";"124";"438";"395";"1.441";"1.885"
"Gas";" ESCOLA BRESSOL LA BALDUFA";"Educació";"";"0";"11.363";"7.827";"5.398";"0";"0";"0";"0";"0";"204";"528";"5.725";"15.224";"732";"486";"361";"70";"73";"70";"73";"73";"79";"95";"322";"743"
"Gas";" PAVELLÓ DE PALAU";"Esportiu";"";"0";"19.458";"13.079";"1.798";"61.650";"29.095";"4.390";"2.938";"2.933";"3.282";"4.284";"7.075";"15.411";"1.187";"835";"253";"3321";"1653";"378";"295";"294";"305";"342";"459";"834"
"Gas";" CAMP DE FUTBOL GERMANS SÀBAT";"Esportiu";"";"0";"5.836";"4.994";"4.471";"2.801";"2.562";"1.803";"1.877";"1.910";"2.816";"4.411";"2.907";"574";"378";"328";"303";"210";"198";"155";"159";"156";"191";"261";"192";"91"
"Gas";" PAVELLÓ DE PONT MAJOR";"Esportiu";"";"0";"20.248";"10.989";"11.747";"5.754";"5.746";"4.007";"3.930";"1.064";"1.128";"4.108";"3.975";"21.286";"1.330";"693";"740";"408";"410";"298";"295";"142";"141";"274";"265";"1.047"
"Gas";" CENTRE CÍVIC SANTA EUGÈNIA";"Cultural";"";"0";"13.109";"10.926";"1.114";"17983";"1772";"1657";"110";"53";"1055";"7462";"11.508";"16.042";"762";"637";"126";"989";"158";"150";"73";"70";"114";"391";"565";"769"
"Gas";" LLAR D'AVIS TAIALÀ";"Cultural";"";"0";"12.921";"9.904";"664";"0";"0";"4716";"4478";"5122";"4895";"326";"44";"14.322";"754";"583";"102";"65";"67";"307";"297";"330";"316";"83";"66";"693"
"Gas";" L'ESTACIÓ ESPAI JOVE";"Oficina";"";"0";"18.185";"12.354";"814";"0";"0";"1566";"56";"0";"0";"5.162";"3.854";"12.369";"1.037";"717";"115";"71";"73";"151";"149";"163";"154";"299";"237";"613"
"Gas";" CENTRE CÍVIC PEDRET";"Cultural";"";"0";"4.582";"3.049";"2.744";"577";"500";"0";"55";"242";"290";"491";"1.499";"5.778";"334";"233";"222";"106";"105";"80";"85";"95";"92";"97";"146";"367"
