"Concepte";"Nom";"Tipologia";"Superficie";"Usuaris";"Gener [kWh]";"Febrer [kWh]";"Març [kWh]";"Abril [kWh]";"Maig [kWh]";"Juny [kWh]";"Juliol [kWh]";"Agost [kWh]";"Setembre [kWh]";"Octubre [kWh]";"Novembre [kWh]";"Desembre [kWh]";"Gener[€]";"Febrer[€]";"Març[€]";"Abril[€]";"Maig[€]";"Juny[€]";"Juliol[€]";"Agost[€]";"Setembre[€]";"Octubre[€]";"Novembre[€]";"Desembre[€]"
"Total";"ESCOLA BRESSOL EL TREN";"Educació";"";"0";"9.007";"8.323";"7.198";"219";"393";"1.659";"1.705";"945";"2.301";"4.485";"5.925";"12.851";"839";"738";"602";"162";"183";"275";"286";"202";"398";"478";"566";"853"
"Total";"ESCOLA BRESSOL GARBÍ";"Educació";"";"0";"8.842";"9.525";"1.399";"3.323";"362";"1.744";"2.618";"914";"2.284";"5.409";"10.267";"11.161";"832";"785";"298";"340";"199";"339";"446";"256";"374";"561";"758";"795"
"Total";"CAMP DE FUTBOL DE VILAROJA";"Esportiu";"";"0";"1.233";"1.147";"864";"597";"568";"509";"461";"419";"555";"737";"706";"831";"474";"444";"429";"373";"378";"359";"362";"355";"367";"408";"396";"428"
"Total";"PAVELLÓ DE SANTA EUGÈNIA";"Esportiu";"";"0";"39.136";"32.438";"6.483";"4.432";"4.581";"9.160";"14.787";"13.663";"17.980";"12.486";"12.483";"17.380";"2.605";"2.210";"985";"864";"893";"859";"1.196";"1131";"1.492";"1172";"1.050";"1.390"
"Total";"ZONA ESPORTIVA DEVESA";"Esportiu";"";"0";"12.543";"10.400";"7.653";"2.542";"11.830";"18.524";"24.592";"29.178";"26.722";"17.626";"15.727";"18.176";"1.562";"1.373";"1.128";"731";"1.732";"2.300";"3.010";"3.537";"3.347";"2.565";"2.100";"2.042"
"Total";"CAMP DE FUTBOL DE CAN GIBERT";"Esportiu";"";"0";"13.355";"10.115";"7.932";"2.055";"1.929";"880";"1.040";"1.467";"2.906";"2.780";"1.499";"3.134";"1.749";"1.491";"1.090";"508";"508";"498";"535";"625";"858";"868";"629";"923"
"Total";"PAVELLÓ DE PALAU";"Esportiu";"";"0";"27.977";"20.802";"5.618";"66.914";"31.764";"5.985";"6.234";"5.775";"8.259";"9.967";"11.784";"21.210";"3.089";"2.584";"1.254";"4.527";"2.390";"979";"1205";"1.092";"1493";"1.675";"1.637";"2.208"
"Total";"PAVELLÓ DE VILA-ROJA";"Esportiu";"";"0";"22.262";"24.366";"8.477";"6.418";"2.112";"4.387";"18.162";"22.347";"-12.619";"1.500";"6.981";"21.150";"2.044";"1.803";"906";"759";"525";"622";"1.353";"1482";"-84";"677";"894";"1.536"
"Total";"PISTA ESPORTIVA FONTAJAU";"Esportiu";"";"0";"5";"5";"6";"5";"7";"5";"5";"6";"1";"0";"0";"0";"37";"35";"37";"36";"37";"36";"37";"37";"35";"35";"34";"35"
"Total";"PISCINA CAN GIBERT DEL PLA";"Piscina";"";"0";"213.198";"183.472";"38.009";"214.378";"65.276";"77.813";"65.708";"64.886";"84.197";"139.346";"134.987";"198.212";"13.296";"11.535";"4.197";"12.147";"5.218";"5.987";"6.015";"5.815";"6.027";"8.568";"7.999";"10.994"
"Total";"CAMP DE FUTBOL GERMANS SÀBAT";"Esportiu";"";"0";"11.873";"11.018";"7.826";"4.102";"4.995";"4.009";"4.736";"5.713";"7.771";"8.887";"5.400";"4.217";"1.734";"1.619";"1.203";"745";"861";"806";"896";"1.006";"1202";"1.243";"928";"946"
"Total";"PISTA DE BOTXES";"Esportiu";"";"0";"855";"-1.469";"744";"457";"482";"457";"601";"872";"739";"25";"0";"0";"168";"-168";"150";"106";"111";"106";"126";"162";"148";"5";"0";"0"
"Total";"PISCINA DE PALAU";"Piscina";"";"0";"230.268";"196.355";"34.284";"122.119";"36.542";"56.378";"49.963";"44.180";"73.047";"122.239";"125.358";"229.087";"15.467";"12.472";"4.026";"7.468";"3.434";"4.725";"4.622";"3.501";"5.590";"7.587";"7.598";"12.889"
"Total";"CAMP DE FUTBOL DE FONTAJAU";"Esportiu";"";"0";"8.277";"7.524";"5.317";"3.629";"3.008";"2.994";"3.088";"3.008";"5.041";"5.453";"4.336";"5.899";"1.831";"1.562";"1.194";"678";"601";"592";"661";"728";"982";"1164";"912";"1.414"
"Total";"PAVELLÓ DE FONTAJAU";"Esportiu";"";"0";"180.476";"306.209";"51.698";"228.460";"17.469";"18.510";"22.969";"20.630";"27.283";"30.616";"148.119";"247.447";"14.601";"19.655";"6.931";"14.286";"3.514";"3.690";"4.330";"4.034";"4.748";"5.015";"10.089";"15.649"
